event_id,ticket_id,category,service_queue,status,worker_id,assigned_at
run01-G01,TKT-run01-G01,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:02.347Z
run01-G02,TKT-run01-G02,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:02.346Z
run01-G03,TKT-run01-G03,account,GENERAL,ASSIGNED,w1,2026-09-24T01:59:02.347Z
run01-G04,TKT-run01-G04,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:02.347Z
run01-G05,TKT-run01-G05,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:02.355Z
run01-N01,TKT-run01-N01,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.574Z
run01-N02,TKT-run01-N02,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.573Z
run01-N03,TKT-run01-N03,account,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.574Z
run01-N04,TKT-run01-N04,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.574Z
run01-N05,TKT-run01-N05,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.583Z
run01-N06,TKT-run01-N06,delivery,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.583Z
run01-N07,TKT-run01-N07,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.583Z
run01-N08,TKT-run01-N08,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.583Z
run01-N09,TKT-run01-N09,feedback,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.589Z
run01-N10,TKT-run01-N10,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.590Z
run01-N11,TKT-run01-N11,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.590Z
run01-N12,TKT-run01-N12,account,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.590Z
run01-N13,TKT-run01-N13,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.594Z
run01-N14,TKT-run01-N14,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.594Z
run01-N15,TKT-run01-N15,delivery,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.595Z
run01-N16,TKT-run01-N16,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.595Z
run01-N17,TKT-run01-N17,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.598Z
run01-N18,TKT-run01-N18,feedback,GENERAL,ASSIGNED,w1,2026-09-24T01:59:01.599Z
run01-N19,TKT-run01-N19,billing,FINANCE,ASSIGNED,w1,2026-09-24T01:59:01.599Z
run01-N20,TKT-run01-N20,technical,TECH,ASSIGNED,w1,2026-09-24T01:59:01.599Z
run01-V01,TKT-run01-V01,account,GENERAL,ASSIGNED,w1,2026-09-24T01:59:03.094Z
